Pronominal,B-METHOD
Anaphora,I-METHOD
Resolution,I-METHOD
In,O
Question,B-RESEARCH_PROBLEM
Answering,I-RESEARCH_PROBLEM
Systems,O
.,O
Boosting,B-METHOD
Applied,O
To,O
Tagging,B-RESEARCH_PROBLEM
And,O
PP,B-RESEARCH_PROBLEM
Attachment,I-RESEARCH_PROBLEM
.,O
Using,O
the,O
Web,B-METHOD
for,O
Language,O
Independent,O
Spellchecking,B-RESEARCH_PROBLEM
and,I-RESEARCH_PROBLEM
Autocorrection,I-RESEARCH_PROBLEM
.,O
Classifying,B-RESEARCH_PROBLEM
Amharic,I-RESEARCH_PROBLEM
News,I-RESEARCH_PROBLEM
Text,I-RESEARCH_PROBLEM
Using,O
Self-Organizing,B-METHOD
Maps,I-METHOD
.,O
Biology,B-METHOD
Based,I-METHOD
Alignments,O
of,O
Paraphrases,B-RESEARCH_PROBLEM
for,I-RESEARCH_PROBLEM
Sentence,I-RESEARCH_PROBLEM
Compression,I-RESEARCH_PROBLEM
.,O
Constructing,O
Verb,B-RESEARCH_PROBLEM
Semantic,I-RESEARCH_PROBLEM
Classes,I-RESEARCH_PROBLEM
For,O
French,O
:,O
Methods,O
And,O
Evaluation,O
.,O
Forest,B-METHOD
Rescoring,I-METHOD
:,O
Faster,O
Decoding,B-RESEARCH_PROBLEM
with,O
Integrated,B-METHOD
Language,I-METHOD
Models,I-METHOD
.,O
Ends-Based,B-METHOD
Dialogue,B-RESEARCH_PROBLEM
Processing,I-RESEARCH_PROBLEM
.,O
A,O
Polynomial-Time,O
Algorithm,O
For,O
Statistical,B-METHOD
Machine,B-RESEARCH_PROBLEM
Translation,I-RESEARCH_PROBLEM
.,O
Text,B-RESEARCH_PROBLEM
Classification,I-RESEARCH_PROBLEM
By,O
Bootstrapping,B-METHOD
With,I-METHOD
Keywords,I-METHOD
",",I-METHOD
EM,I-METHOD
And,I-METHOD
Shrinkage,I-METHOD
.,O
Recognising,O
the,O
Predicate-argument,B-RESEARCH_PROBLEM
Structure,I-RESEARCH_PROBLEM
of,O
Tagalog,O
.,O
Prior,B-METHOD
Derivation,I-METHOD
Models,O
For,O
Formally,O
Syntax-Based,B-METHOD
Translation,B-RESEARCH_PROBLEM
Using,O
Linguistically,B-METHOD
Syntactic,I-METHOD
Parsing,I-METHOD
and,O
Tree,B-METHOD
Kernels,I-METHOD
.,O
EXEMPLARS,B-SOLUTION
:,O
A,O
Practical,O
",",O
Extensible,O
Framework,O
For,O
Dynamic,B-RESEARCH_PROBLEM
Text,I-RESEARCH_PROBLEM
Generation,I-RESEARCH_PROBLEM
.,O
LFG,B-RESEARCH_PROBLEM
Semantics,I-RESEARCH_PROBLEM
Via,O
Constraints,B-METHOD
.,O
A,O
Semantic,B-METHOD
Kernel,I-METHOD
For,O
Predicate,B-RESEARCH_PROBLEM
Argument,I-RESEARCH_PROBLEM
Classification,I-RESEARCH_PROBLEM
.,O
Constructing,O
Transliteration,B-RESEARCH_PROBLEM
Lexicons,I-RESEARCH_PROBLEM
From,O
Web,B-METHOD
Corpora,O
.,O
